Price,Year,Kilometer,Engine,Length,Width,Height,Seating Capacity,Fuel Tank Capacity,Fuel Type,Transmission,Owner,Seller Type,Drivetrain,PriceRange
505000.0,2017.0,87150.0,1198.0,3990.0,1680.0,1505.0,5.0,35.0,Petrol,Manual,First,Corporate,FWD,1
450000.0,2014.0,75000.0,1248.0,3995.0,1695.0,1555.0,5.0,42.0,Diesel,Manual,Second,Individual,FWD,1
220000.0,2011.0,67000.0,1197.0,3585.0,1595.0,1550.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
799000.0,2019.0,37500.0,1197.0,3995.0,1745.0,1510.0,5.0,37.0,Petrol,Manual,First,Individual,FWD,3
1950000.0,2018.0,69000.0,2393.0,4735.0,1830.0,1795.0,7.0,55.0,Diesel,Manual,First,Individual,RWD,3
675000.0,2017.0,73315.0,1373.0,4490.0,1730.0,1485.0,5.0,43.0,Petrol,Manual,First,Individual,FWD,1
1898999.0,2015.0,47000.0,1991.0,4630.0,1777.0,1432.0,5.0,57.8,Petrol,Automatic,Second,Individual,FWD,4
2650000.0,2017.0,75000.0,1995.0,4439.0,1821.0,1612.0,5.0,51.0,Diesel,Automatic,Second,Individual,AWD,4
1390000.0,2017.0,56000.0,1798.0,4670.0,1814.0,1476.0,5.0,50.0,Petrol,Automatic,First,Individual,FWD,2
575000.0,2015.0,85000.0,1461.0,4331.0,1822.0,1671.0,5.0,50.0,Diesel,Manual,First,Individual,FWD,1
591000.0,2017.0,20281.0,1197.0,3985.0,1734.0,1505.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
459999.0,2018.0,22541.0,999.0,3679.0,1579.0,1478.0,5.0,28.0,Petrol,Manual,First,Individual,FWD,1
1075000.0,2019.0,30672.0,1462.0,4490.0,1730.0,1485.0,5.0,43.0,Petrol,Automatic,First,Individual,FWD,1
1695000.0,2019.0,20856.0,1956.0,4598.0,1894.0,1706.0,5.0,50.0,Diesel,Manual,First,Individual,FWD,1
944999.0,2017.0,41417.0,1197.0,3971.0,1682.0,1469.0,5.0,45.0,Petrol,Automatic,First,Individual,FWD,1
569000.0,2016.0,11471.0,998.0,3695.0,1600.0,1560.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,1
894999.0,2018.0,21365.0,1197.0,3995.0,1745.0,1510.0,5.0,37.0,Petrol,Automatic,First,Individual,FWD,1
699000.0,2020.0,30777.0,1197.0,3655.0,1620.0,1675.0,5.0,32.0,Petrol,Automatic,First,Individual,FWD,1
740000.0,2016.0,60125.0,1591.0,4270.0,1780.0,1630.0,5.0,60.0,Petrol,Manual,First,Individual,FWD,1
470000.0,2020.0,2169.0,998.0,3565.0,1520.0,1564.0,5.0,27.0,Petrol,Automatic,First,Individual,FWD,1
765000.0,2015.0,60240.0,1197.0,4384.0,1699.0,1466.0,5.0,55.0,Petrol,Automatic,First,Individual,FWD,1
589000.0,2018.0,13772.0,1086.0,3610.0,1645.0,1560.0,5.0,35.0,Petrol,Automatic,First,Individual,FWD,1
999000.0,2019.0,27464.0,998.0,3995.0,1770.0,1605.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
370000.0,2019.0,47377.0,998.0,3545.0,1490.0,1475.0,4.0,60.0,CNG,Manual,First,Individual,FWD,1
1175000.0,2019.0,36313.0,1591.0,4270.0,1780.0,1630.0,5.0,60.0,Petrol,Manual,First,Individual,FWD,1
351000.0,2014.0,39276.0,1198.0,3610.0,1680.0,1500.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
551000.0,2015.0,47752.0,1197.0,3985.0,1734.0,1505.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
819999.0,2018.0,27963.0,1199.0,3999.0,1734.0,1601.0,5.0,40.0,Petrol,Manual,First,Individual,FWD,1
990000.0,2020.0,24013.0,998.0,3995.0,1770.0,1605.0,5.0,45.0,Petrol,Manual,First,Individual,FWD,1
925000.0,2016.0,66000.0,1582.0,4270.0,1780.0,1630.0,5.0,60.0,Diesel,Automatic,First,Individual,FWD,1
535000.0,2015.0,28000.0,999.0,3999.0,1765.0,1708.0,5.0,52.0,Petrol,Manual,First,Individual,FWD,1
860000.0,2013.0,67000.0,1636.4,4378.8,1787.6,1673.2,5.8,57.0,Petrol,Automatic,First,Individual,FWD,1
145000.0,2009.0,72000.0,1086.0,3565.0,1525.0,1590.0,5.0,35.0,CNG,Manual,Second,Individual,FWD,1
409000.0,2018.0,27069.0,1199.0,3746.0,1647.0,1535.0,5.0,35.0,Petrol,Manual,First,Individual,FWD,1
490000.0,2018.0,43000.0,1047.0,3992.0,1677.0,1537.0,5.0,35.0,Diesel,Manual,First,Individual,FWD,1
1900000.0,2019.0,71000.0,2393.0,4735.0,1830.0,1795.0,8.0,55.0,Diesel,Manual,First,Individual,RWD,3
3850000.0,2017.0,45600.0,2143.0,4656.0,1890.0,1639.0,5.0,66.0,Diesel,Automatic,Second,Individual,AWD,4
1125000.0,2018.0,60000.0,1582.0,4270.0,1780.0,1665.0,5.0,55.0,Diesel,Manual,First,Individual,FWD,1
2300000.0,2014.0,105101.0,2143.0,4804.0,2141.0,1796.0,5.0,70.0,Diesel,Automatic,First,Individual,AWD,4
1095000.0,2016.0,45000.0,1798.0,4620.0,1775.0,1475.0,5.0,55.0,Petrol,Automatic,First,Individual,FWD,3
1575000.0,2013.0,66000.0,1968.0,4701.0,1826.0,1427.0,5.0,63.0,Diesel,Automatic,First,Individual,FWD,3
